Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
3/31/2021,3972.89,4/8/2021,13.94,4/8/2021,16.95,4/8/2021,20.59,4/8/2021,23.08,4/8/2021,23.74
4/1/2021,4019.87,4/9/2021,13.19,4/9/2021,16.69,4/9/2021,20.74,4/9/2021,23.19,4/9/2021,23.81
4/5/2021,4077.91,4/12/2021,14.24,4/12/2021,16.91,4/12/2021,20.82,4/12/2021,23.17,4/12/2021,23.83
4/6/2021,4073.94,4/13/2021,13.78,4/13/2021,16.65,4/13/2021,20.78,4/13/2021,23.12,4/13/2021,23.82
4/7/2021,4079.95,4/14/2021,14.1,4/14/2021,16.99,4/14/2021,21.06,4/14/2021,23.51,4/14/2021,24.01
4/8/2021,4097.17,4/15/2021,14.22,4/15/2021,16.57,4/15/2021,20.76,4/15/2021,23.3,4/15/2021,23.85
4/9/2021,4128.8,4/16/2021,12.97,4/16/2021,16.25,4/16/2021,20.53,4/16/2021,23.16,4/16/2021,23.84
4/12/2021,4127.99,4/19/2021,15.42,4/19/2021,17.29,4/19/2021,21.37,4/19/2021,23.74,4/19/2021,24.1
4/13/2021,4141.59,4/20/2021,17.33,4/20/2021,18.68,4/20/2021,22.35,4/20/2021,24.46,4/20/2021,24.5
4/14/2021,4124.66,4/21/2021,14.79,4/21/2021,17.5,4/21/2021,21.49,4/21/2021,23.8,4/21/2021,24.04
4/15/2021,4170.42,4/22/2021,16.77,4/22/2021,18.71,4/22/2021,22.52,4/22/2021,24.65,4/22/2021,24.62
4/16/2021,4185.47,4/23/2021,14.07,4/23/2021,17.33,4/23/2021,21.57,4/23/2021,23.88,4/23/2021,24.21
4/19/2021,4163.26,4/26/2021,14.81,4/26/2021,17.64,4/26/2021,21.54,4/26/2021,23.81,4/26/2021,24.26
4/20/2021,4134.94,4/27/2021,14.55,4/27/2021,17.56,4/27/2021,21.32,4/27/2021,23.69,4/27/2021,24.25
4/21/2021,4173.42,4/28/2021,13.62,4/28/2021,17.28,4/28/2021,21.13,4/28/2021,23.61,4/28/2021,24.2
4/22/2021,4134.98,4/29/2021,13.96,4/29/2021,17.61,4/29/2021,21.31,4/29/2021,23.67,4/29/2021,24.22
4/23/2021,4180.17,4/30/2021,15.53,4/30/2021,18.61,4/30/2021,22.07,4/30/2021,24.19,4/30/2021,24.49
4/26/2021,4187.62,5/3/2021,16.17,5/3/2021,18.31,5/3/2021,21.74,5/3/2021,23.94,5/3/2021,24.34
4/27/2021,4186.72,5/4/2021,17.75,5/4/2021,19.48,5/4/2021,22.67,5/4/2021,24.64,5/4/2021,24.76
4/28/2021,4183.18,5/5/2021,17.57,5/5/2021,19.15,5/5/2021,22.26,5/5/2021,24.3,5/5/2021,24.58
4/29/2021,4211.47,5/6/2021,16.04,5/6/2021,18.39,5/6/2021,21.88,5/6/2021,23.88,5/6/2021,24.24
4/30/2021,4181.17,5/7/2021,14.09,5/7/2021,16.69,5/7/2021,20.79,5/7/2021,23.13,5/7/2021,23.77
5/3/2021,4192.66,5/10/2021,19.68,5/10/2021,19.66,5/10/2021,22.4,5/10/2021,24.28,5/10/2021,24.5
5/4/2021,4164.66,5/11/2021,22.03,5/11/2021,21.84,5/11/2021,24.23,5/11/2021,25.64,5/11/2021,25.29
5/5/2021,4167.59,5/12/2021,29.55,5/12/2021,27.59,5/12/2021,28.18,5/12/2021,28.62,5/12/2021,27.3
5/6/2021,4201.62,5/13/2021,23.21,5/13/2021,23.13,5/13/2021,25.26,5/13/2021,26.33,5/13/2021,26.02
5/7/2021,4232.6,5/14/2021,17.41,5/14/2021,18.81,5/14/2021,22.26,5/14/2021,24.23,5/14/2021,24.69
5/10/2021,4188.43,5/17/2021,18.83,5/17/2021,19.72,5/17/2021,23.14,5/17/2021,25.09,5/17/2021,25.2
5/11/2021,4152.1,5/18/2021,20.99,5/18/2021,21.34,5/18/2021,24.22,5/18/2021,26.07,5/18/2021,26.01
5/12/2021,4063.04,5/19/2021,21.21,5/19/2021,22.18,5/19/2021,25.27,5/19/2021,26.69,5/19/2021,26.3
5/13/2021,4112.5,5/20/2021,18.56,5/20/2021,20.67,5/20/2021,23.81,5/20/2021,25.74,5/20/2021,25.65
5/14/2021,4173.85,5/21/2021,17.12,5/21/2021,20.15,5/21/2021,23.49,5/21/2021,25.54,5/21/2021,25.51
5/17/2021,4163.29,5/24/2021,14.67,5/24/2021,18.4,5/24/2021,22.23,5/24/2021,24.4,5/24/2021,24.71
5/18/2021,4127.83,5/25/2021,15.79,5/25/2021,18.84,5/25/2021,22.4,5/25/2021,24.6,5/25/2021,24.81
5/19/2021,4115.68,5/26/2021,13.84,5/26/2021,17.36,5/26/2021,21.3,5/26/2021,23.84,5/26/2021,24.34
5/20/2021,4159.12,5/27/2021,13.03,5/27/2021,16.74,5/27/2021,20.31,5/27/2021,23.09,5/27/2021,23.85
5/21/2021,4155.86,5/28/2021,12.73,5/28/2021,16.76,5/28/2021,20.48,5/28/2021,23.11,5/28/2021,23.82
5/24/2021,4197.05,6/1/2021,15,6/1/2021,17.9,6/1/2021,21.34,6/1/2021,23.79,6/1/2021,24.27
5/25/2021,4188.13,6/2/2021,13.7,6/2/2021,17.48,6/2/2021,21.42,6/2/2021,23.94,6/2/2021,24.46
5/26/2021,4195.99,6/3/2021,15.18,6/3/2021,18.04,6/3/2021,21.82,6/3/2021,24.13,6/3/2021,24.74
5/27/2021,4200.88,6/4/2021,12.7,6/4/2021,16.42,6/4/2021,20.62,6/4/2021,23.3,6/4/2021,24.2
5/28/2021,4204.11,6/7/2021,13.91,6/7/2021,16.42,6/7/2021,20.55,6/7/2021,23.22,6/7/2021,24.1
6/1/2021,4202.04,6/8/2021,15.43,6/8/2021,17.07,6/8/2021,20.85,6/8/2021,23.34,6/8/2021,24.07
6/2/2021,4208.12,6/9/2021,17.09,6/9/2021,17.89,6/9/2021,21.28,6/9/2021,23.61,6/9/2021,24.23
6/3/2021,4192.85,6/10/2021,13.83,6/10/2021,16.1,6/10/2021,20.08,6/10/2021,22.59,6/10/2021,23.47
6/4/2021,4229.89,6/11/2021,13.06,6/11/2021,15.65,6/11/2021,19.64,6/11/2021,22.3,6/11/2021,23.24
6/7/2021,4226.52,6/14/2021,14.92,6/14/2021,16.39,6/14/2021,20.14,6/14/2021,22.68,6/14/2021,23.49
6/8/2021,4227.26,6/15/2021,15.92,6/15/2021,17.02,6/15/2021,20.68,6/15/2021,23.11,6/15/2021,23.77
6/9/2021,4219.55,6/16/2021,17.94,6/16/2021,18.15,6/16/2021,21.26,6/16/2021,23.45,6/16/2021,23.94
